ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
0,Butterfree,Bug,Flying,0,0,0,0,0,200,0,1,
0,Joltik,Bug,Electric,0,0,0,0,0,0,0,5,
1,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,FALSE
2,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,FALSE
3,Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,FALSE
4,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,FALSE
5,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,FALSE
6,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,FALSE
7,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,FALSE
8,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,FALSE
9,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,FALSE
10,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,FALSE
11,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,FALSE
12,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,FALSE
13,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,FALSE
14,Durant,Bug,Steel,484,58,109,112,48,48,109,5,FALSE
15,Genesect,Bug,Steel,600,71,120,95,120,95,99,5,FALSE
16,Karrablast,Bug,None,315,50,75,45,40,45,60,5,FALSE
17,Shelmet,Bug,None,305,50,40,85,40,65,25,5,FALSE
18,Accelgor,Bug,None,495,80,70,40,100,60,145,5,FALSE
19,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,FALSE
20,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,FALSE
21,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,FALSE
22,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,FALSE
23,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,FALSE
24,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,FALSE
25,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,FALSE
26,Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,FALSE
27,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,FALSE
28,Purrloin,Dark,None,281,41,50,37,50,37,66,5,FALSE
29,Liepard,Dark,None,446,64,88,50,88,50,106,5,FALSE
30,Zorua,Dark,None,330,40,65,40,80,40,65,5,FALSE
31,Zoroark,Dark,None,510,60,105,60,120,60,105,5,FALSE
32,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,TRUE
33,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,TRUE
34,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,TRUE
35,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,TRUE
36,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,TRUE
37,Axew,Dragon,None,320,46,87,60,30,40,57,5,FALSE
38,Fraxure,Dragon,None,410,66,117,70,40,50,67,5,FALSE
39,Haxorus,Dragon,None,540,76,147,90,60,70,97,5,FALSE
40,Druddigon,Dragon,None,485,77,120,90,60,90,48,5,FALSE
41,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,FALSE
42,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,TRUE
43,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,TRUE
44,Blitzle,Electric,None,295,45,60,32,50,32,76,5,FALSE
45,Zebstrika,Electric,None,497,75,100,63,80,63,116,5,FALSE
46,Tynamo,Electric,None,275,35,55,40,45,40,60,5,FALSE
47,Eelektrik,Electric,None,405,65,85,70,75,70,40,5,FALSE
48,Eelektross,Electric,None,515,85,115,80,105,80,50,5,FALSE
49,Timburr,Fighting,None,305,75,80,55,25,35,35,5,FALSE
50,Gurdurr,Fighting,None,405,85,105,85,40,50,40,5,FALSE
51,Conkeldurr,Fighting,None,505,105,140,95,55,65,45,5,FALSE
52,Throh,Fighting,None,465,120,100,85,30,85,45,5,FALSE
53,Sawk,Fighting,None,465,75,125,75,30,75,85,5,FALSE
54,Mienfoo,Fighting,None,350,45,85,50,55,50,65,5,FALSE
55,Mienshao,Fighting,None,510,65,125,60,95,60,105,5,FALSE
56,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,FALSE
57,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
58,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,FALSE
59,Tepig,Fire,None,308,65,63,45,45,45,45,5,FALSE
60,Pansear,Fire,None,316,50,53,48,53,48,64,5,FALSE
61,Simisear,Fire,None,498,75,98,63,98,63,101,5,FALSE
62,Darumaka,Fire,None,315,70,90,45,15,45,50,5,FALSE
63,DarmanitanStandard Mode,Fire,None,480,105,140,55,30,55,95,5,FALSE
64,Heatmor,Fire,None,484,85,97,66,105,66,65,5,FALSE
65,TornadusIncarnate Forme,Flying,None,580,79,115,70,125,80,111,5,TRUE
66,TornadusTherian Forme,Flying,None,580,79,100,80,110,90,121,5,TRUE
67,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,FALSE
68,Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,FALSE
69,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,FALSE
70,Yamask,Ghost,None,303,38,30,85,55,65,30,5,FALSE
71,Cofagrigus,Ghost,None,483,58,50,145,95,105,30,5,FALSE
72,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,FALSE
73,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,FALSE
74,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,TRUE
75,Foongus,Grass,Poison,294,69,55,45,55,55,15,5,FALSE
76,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,FALSE
77,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,FALSE
78,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,FALSE
79,Snivy,Grass,None,308,45,45,55,45,55,63,5,FALSE
80,Servine,Grass,None,413,60,60,75,60,75,83,5,FALSE
81,Serperior,Grass,None,528,75,75,95,75,95,113,5,FALSE
82,Pansage,Grass,None,316,50,53,48,53,48,64,5,FALSE
83,Simisage,Grass,None,498,75,98,63,98,63,101,5,FALSE
84,Petilil,Grass,None,280,45,35,50,70,50,30,5,FALSE
85,Lilligant,Grass,None,480,70,60,75,110,75,90,5,FALSE
86,Maractus,Grass,None,461,75,86,67,106,67,60,5,FALSE
87,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,FALSE
88,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,FALSE
89,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,FALSE
90,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,FALSE
91,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,TRUE
92,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,TRUE
93,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,FALSE
94,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,FALSE
95,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,FALSE
96,Drilbur,Ground,None,328,60,85,40,30,45,68,5,FALSE
97,Vanillite,Ice,None,305,36,50,50,65,60,44,5,FALSE
98,Vanillish,Ice,None,395,51,65,65,80,75,59,5,FALSE
99,Vanilluxe,Ice,None,535,71,95,85,110,95,79,5,FALSE
100,Cubchoo,Ice,None,305,55,70,40,60,40,40,5,FALSE
101,Beartic,Ice,None,485,95,110,80,70,80,50,5,FALSE
102,Cryogonal,Ice,None,485,70,50,30,95,135,105,5,FALSE
103,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,FALSE
104,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,FALSE
105,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,FALSE
106,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,FALSE
107,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,FALSE
108,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,FALSE
109,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,FALSE
110,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,FALSE
111,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,FALSE
112,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,FALSE
113,Patrat,Normal,None,255,45,55,39,35,39,42,5,FALSE
114,Watchog,Normal,None,420,60,85,69,60,69,77,5,FALSE
115,Lillipup,Normal,None,275,45,60,45,25,45,55,5,FALSE
116,Herdier,Normal,None,370,65,80,65,35,65,60,5,FALSE
117,Stoutland,Normal,None,500,85,110,90,45,90,80,5,FALSE
118,Audino,Normal,None,445,103,60,86,60,86,50,5,FALSE
119,Minccino,Normal,None,300,55,50,40,40,40,75,5,FALSE
120,Cinccino,Normal,None,470,75,95,60,65,60,115,5,FALSE
121,Bouffalant,Normal,None,490,95,110,95,40,95,55,5,FALSE
122,Trubbish,Poison,None,329,50,50,62,40,62,65,5,FALSE
123,Garbodor,Poison,None,474,80,95,82,60,82,75,5,FALSE
124,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,TRUE
125,Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,FALSE
126,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,FALSE
127,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,FALSE
128,Munna,Psychic,None,292,76,25,45,67,55,24,5,FALSE
129,Musharna,Psychic,None,487,116,55,85,107,95,29,5,FALSE
130,Gothita,Psychic,None,290,45,30,50,55,65,45,5,FALSE
131,Gothorita,Psychic,None,390,60,45,70,75,85,55,5,FALSE
132,Gothitelle,Psychic,None,490,70,55,95,95,110,65,5,FALSE
133,Solosis,Psychic,None,290,45,30,40,105,50,20,5,FALSE
134,Duosion,Psychic,None,370,65,40,50,125,60,30,5,FALSE
135,Reuniclus,Psychic,None,490,110,65,75,125,85,30,5,FALSE
136,Elgyem,Psychic,None,335,55,55,55,85,55,30,5,FALSE
137,Beheeyem,Psychic,None,485,75,75,75,125,95,40,5,FALSE
138,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,TRUE
139,Archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
140,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
141,Roggenrola,Rock,None,280,55,75,85,25,25,15,5,FALSE
142,Boldore,Rock,None,390,70,105,105,50,40,20,5,FALSE
143,Gigalith,Rock,None,515,85,135,130,60,80,25,5,FALSE
144,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,TRUE
145,Klink,Steel,None,300,40,55,70,45,60,30,5,FALSE
146,Klang,Steel,None,440,60,80,95,70,85,50,5,FALSE
147,Klinklang,Steel,None,520,60,100,115,70,85,90,5,FALSE
148,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,FALSE
149,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,FALSE
150,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
151,Swanna,Water,Flying,473,75,87,63,87,63,98,5,FALSE
152,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,FALSE
153,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,FALSE
154,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,FALSE
155,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,FALSE
156,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,FALSE
157,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
158,Oshawott,Water,None,308,55,55,45,63,45,45,5,FALSE
159,Dewott,Water,None,413,75,75,60,83,60,60,5,FALSE
160,Samurott,Water,None,528,95,100,85,108,70,70,5,FALSE
161,Panpour,Water,None,316,50,53,48,53,48,64,5,FALSE
162,Simipour,Water,None,498,75,98,63,98,63,101,5,FALSE
163,Tympole,Water,None,294,50,50,40,50,40,64,5,FALSE
164,Basculin,Water,None,460,70,92,65,80,55,98,5,FALSE
165,Alomomola,Water,None,470,165,75,80,40,45,65,5,FALSE
