ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
0,Vivillon,Bug,Flying,0,0,0,0,0,200,0,6,
0,Vivillon,Bug,Flying,0,0,0,0,0,0,0,6,
1,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,FALSE
2,Scatterbug,Bug,None,200,38,35,40,27,25,35,6,FALSE
3,Spewpa,Bug,None,213,45,22,60,27,30,29,6,FALSE
4,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,TRUE
5,Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,FALSE
6,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,FALSE
7,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,TRUE
8,Goomy,Dragon,None,300,45,50,35,55,75,40,6,FALSE
9,Sliggoo,Dragon,None,452,68,75,53,83,113,60,6,FALSE
10,Goodra,Dragon,None,600,90,100,70,110,150,80,6,FALSE
11,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,FALSE
12,Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,FALSE
13,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,FALSE
14,FlabÃ­Â©bÃ­Â©,Fairy,None,303,44,38,39,61,79,42,6,FALSE
15,Floette,Fairy,None,371,54,45,47,75,98,52,6,FALSE
16,Florges,Fairy,None,552,78,65,68,112,154,75,6,FALSE
17,Spritzee,Fairy,None,341,78,52,60,63,65,23,6,FALSE
18,Aromatisse,Fairy,None,462,101,72,72,99,89,29,6,FALSE
19,Swirlix,Fairy,None,341,62,48,66,59,57,49,6,FALSE
20,Slurpuff,Fairy,None,480,82,80,86,85,75,72,6,FALSE
21,Sylveon,Fairy,None,525,95,65,65,110,130,60,6,FALSE
22,Xerneas,Fairy,None,680,126,131,95,131,98,99,6,TRUE
23,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,FALSE
24,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,FALSE
25,Pancham,Fighting,None,348,67,82,62,46,48,43,6,FALSE
26,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,FALSE
27,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,FALSE
28,Litleo,Fire,Normal,369,62,50,58,73,54,72,6,FALSE
29,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,FALSE
30,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,FALSE
31,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,TRUE
32,Fennekin,Fire,None,307,40,45,40,62,60,60,6,FALSE
33,Braixen,Fire,None,409,59,59,58,90,70,73,6,FALSE
34,Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,FALSE
35,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,FALSE
36,Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,FALSE
37,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,FALSE
38,PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,FALSE
39,PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,FALSE
40,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,FALSE
41,PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,FALSE
42,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,FALSE
43,GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,FALSE
44,GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,FALSE
45,GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,FALSE
46,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,FALSE
47,Chespin,Grass,None,313,56,61,65,48,45,38,6,FALSE
48,Quilladin,Grass,None,405,61,78,95,56,58,57,6,FALSE
49,Skiddo,Grass,None,350,66,65,48,62,57,52,6,FALSE
50,Gogoat,Grass,None,531,123,100,62,97,81,68,6,FALSE
51,Bergmite,Ice,None,304,55,69,85,32,35,28,6,FALSE
52,Avalugg,Ice,None,514,95,117,184,44,46,28,6,FALSE
53,Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,FALSE
54,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,FALSE
55,Bunnelby,Normal,None,237,38,36,38,32,36,57,6,FALSE
56,Furfrou,Normal,None,472,75,80,60,65,90,102,6,FALSE
57,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,FALSE
58,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,FALSE
59,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,TRUE
60,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,TRUE
61,Espurr,Psychic,None,355,62,48,54,63,60,68,6,FALSE
62,MeowsticMale,Psychic,None,466,74,48,76,83,81,104,6,FALSE
63,MeowsticFemale,Psychic,None,466,74,48,76,83,81,104,6,FALSE
64,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,FALSE
65,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,FALSE
66,Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,FALSE
67,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,TRUE
68,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,TRUE
69,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,FALSE
70,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,FALSE
71,Binacle,Rock,Water,306,42,52,67,39,56,50,6,FALSE
72,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,FALSE
73,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,FALSE
74,Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,FALSE
75,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,FALSE
76,AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,FALSE
77,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,FALSE
78,Greninja,Water,Dark,530,72,95,67,103,71,122,6,FALSE
79,Froakie,Water,None,314,41,56,40,62,44,71,6,FALSE
80,Frogadier,Water,None,405,54,63,52,83,56,97,6,FALSE
81,Clauncher,Water,None,330,50,53,62,58,63,44,6,FALSE
82,Clawitzer,Water,None,500,71,73,88,120,89,59,6,FALSE
