ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
0,Heracross,Bug,Fighting,0,0,200,0,0,0,0,2,
0,Heracross,Bug,Fighting,0,0,0,0,0,0,0,2,
1,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE
2,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,FALSE
3,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE
4,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE
5,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE
6,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE
7,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE
8,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE
9,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE
10,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE
11,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,FALSE
12,Pineco,Bug,None,290,50,65,90,35,35,15,2,FALSE
13,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE
14,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE
15,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,FALSE
16,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE
17,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE
18,Umbreon,Dark,None,525,95,65,110,60,130,65,2,FALSE
19,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE
20,Pichu,Electric,None,205,20,40,15,35,35,60,2,FALSE
21,Mareep,Electric,None,280,55,40,40,65,45,35,2,FALSE
22,Flaaffy,Electric,None,365,70,55,55,80,60,45,2,FALSE
23,Ampharos,Electric,None,510,90,75,85,115,90,55,2,FALSE
24,Elekid,Electric,None,360,45,63,37,65,55,95,2,FALSE
25,Raikou,Electric,None,580,90,85,75,115,100,115,2,TRUE
26,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE
27,Cleffa,Fairy,None,218,50,25,28,45,55,15,2,FALSE
28,Togepi,Fairy,None,245,35,20,65,40,65,20,2,FALSE
29,Snubbull,Fairy,None,300,60,80,50,40,40,30,2,FALSE
30,Granbull,Fairy,None,450,90,120,75,60,60,45,2,FALSE
31,Tyrogue,Fighting,None,210,35,35,35,35,35,35,2,FALSE
32,Hitmontop,Fighting,None,455,50,95,95,35,110,70,2,FALSE
33,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE
34,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE
35,Cyndaquil,Fire,None,309,39,52,43,60,50,65,2,FALSE
36,Quilava,Fire,None,405,58,64,58,80,65,80,2,FALSE
37,Typhlosion,Fire,None,534,78,84,78,109,85,100,2,FALSE
38,Slugma,Fire,None,250,40,40,40,70,40,20,2,FALSE
39,Magby,Fire,None,365,45,75,37,70,55,83,2,FALSE
40,Entei,Fire,None,580,115,115,85,90,75,100,2,TRUE
41,Misdreavus,Ghost,None,435,60,60,60,85,85,85,2,FALSE
42,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE
43,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE
44,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE
45,Chikorita,Grass,None,318,45,49,65,49,65,45,2,FALSE
46,Bayleef,Grass,None,405,60,62,80,63,80,60,2,FALSE
47,Meganium,Grass,None,525,80,82,100,83,100,80,2,FALSE
48,Bellossom,Grass,None,490,75,80,95,90,100,50,2,FALSE
49,Sunkern,Grass,None,180,30,30,30,30,30,30,2,FALSE
50,Sunflora,Grass,None,425,75,75,55,105,85,30,2,FALSE
51,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE
52,Phanpy,Ground,None,330,90,60,60,40,40,40,2,FALSE
53,Donphan,Ground,None,500,90,120,120,60,60,50,2,FALSE
54,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE
55,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE
56,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE
57,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE
58,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE
59,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE
60,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE
61,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE
62,Sentret,Normal,None,215,35,46,34,35,45,20,2,FALSE
63,Furret,Normal,None,415,85,76,64,45,55,90,2,FALSE
64,Aipom,Normal,None,360,55,70,55,40,55,85,2,FALSE
65,Dunsparce,Normal,None,415,100,70,70,65,65,45,2,FALSE
66,Teddiursa,Normal,None,330,60,80,50,50,50,40,2,FALSE
67,Ursaring,Normal,None,500,90,130,75,75,75,55,2,FALSE
68,Porygon2,Normal,None,515,85,80,90,105,95,60,2,FALSE
69,Stantler,Normal,None,465,73,95,62,85,65,85,2,FALSE
70,Smeargle,Normal,None,250,55,20,35,20,45,75,2,FALSE
71,Miltank,Normal,None,490,95,80,105,40,70,100,2,FALSE
72,Blissey,Normal,None,540,255,10,10,75,135,55,2,FALSE
73,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE
74,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE
75,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE
76,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE
77,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,FALSE
78,Espeon,Psychic,None,525,65,65,60,130,95,110,2,FALSE
79,Unown,Psychic,None,336,48,72,48,72,48,48,2,FALSE
80,Wobbuffet,Psychic,None,405,190,33,58,33,58,33,2,FALSE
81,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE
82,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,FALSE
83,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,FALSE
