ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
0,Butterfree,Bug,Flying,0,0,0,0,180,0,0,1,
0,Butterfree,Bug,Flying,0,0,0,0,0,0,0,1,
1,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE
2,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE
3,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE
4,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE
5,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE
6,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
7,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE
8,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE
9,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE
10,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE
11,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE
12,Caterpie,Bug,None,195,45,30,35,20,20,45,1,FALSE
13,Metapod,Bug,None,205,50,20,55,25,25,30,1,FALSE
14,Pinsir,Bug,None,500,65,125,100,55,70,85,1,FALSE
15,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE
16,Dratini,Dragon,None,300,41,64,45,50,50,50,1,FALSE
17,Dragonair,Dragon,None,420,61,84,65,70,70,70,1,FALSE
18,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE
19,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE
20,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE
21,Pikachu,Electric,None,320,35,55,40,50,50,90,1,FALSE
22,Raichu,Electric,None,485,60,90,55,90,80,110,1,FALSE
23,Voltorb,Electric,None,330,40,30,50,55,55,100,1,FALSE
24,Electrode,Electric,None,480,60,50,70,80,80,140,1,FALSE
25,Electabuzz,Electric,None,490,65,83,57,95,85,105,1,FALSE
26,Jolteon,Electric,None,525,65,65,60,110,95,130,1,FALSE
27,Clefairy,Fairy,None,323,70,45,48,60,65,35,1,FALSE
28,Clefable,Fairy,None,483,95,70,73,95,90,60,1,FALSE
29,Mankey,Fighting,None,305,40,80,35,35,45,70,1,FALSE
30,Primeape,Fighting,None,455,65,105,60,60,70,95,1,FALSE
31,Machop,Fighting,None,305,70,80,50,35,35,35,1,FALSE
32,Machoke,Fighting,None,405,80,100,70,50,60,45,1,FALSE
33,Machamp,Fighting,None,505,90,130,80,65,85,55,1,FALSE
34,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,1,FALSE
35,Hitmonchan,Fighting,None,455,50,105,79,35,110,76,1,FALSE
36,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
37,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
38,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
39,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
40,Charmander,Fire,None,309,39,52,43,60,50,65,1,FALSE
41,Charmeleon,Fire,None,405,58,64,58,80,65,80,1,FALSE
42,Vulpix,Fire,None,299,38,41,40,50,65,65,1,FALSE
