ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
0,Mothim,Bug,Flying,0,0,200,0,0,0,0,4,
0,Mothim,Bug,Flying,0,180,0,0,0,0,0,4,
0,Mothim,Bug,Flying,0,0,0,0,0,0,0,4,FALSE
1,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,FALSE
2,Combee,Bug,Flying,244,30,30,42,30,42,70,4,FALSE
3,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,FALSE
4,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,FALSE
5,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,FALSE
6,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,FALSE
7,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,FALSE
8,Kricketot,Bug,None,194,37,25,41,25,41,25,4,FALSE
9,Kricketune,Bug,None,384,77,85,51,55,51,65,4,FALSE
10,Burmy,Bug,None,224,40,29,45,29,45,36,4,FALSE
11,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,FALSE
12,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,TRUE
13,Darkrai,Dark,None,600,70,90,90,135,90,125,4,FALSE
14,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,FALSE
15,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,FALSE
16,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,FALSE
17,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,FALSE
18,RotomHeat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,FALSE
19,RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,FALSE
20,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,FALSE
21,RotomMow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,FALSE
22,RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,FALSE
23,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,FALSE
24,RotomWash Rotom,Electric,Water,520,50,65,107,105,107,86,4,FALSE
25,Shinx,Electric,None,263,45,65,34,40,34,45,4,FALSE
26,Luxio,Electric,None,363,60,85,49,60,49,60,4,FALSE
27,Luxray,Electric,None,523,80,120,79,95,79,70,4,FALSE
28,Pachirisu,Electric,None,405,60,45,70,45,90,95,4,FALSE
29,Electivire,Electric,None,540,75,123,67,95,85,95,4,FALSE
30,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,FALSE
31,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,FALSE
32,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,FALSE
33,Riolu,Fighting,None,285,40,70,40,35,40,60,4,FALSE
34,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,FALSE
35,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,TRUE
36,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,FALSE
37,Chimchar,Fire,None,309,44,58,44,58,44,61,4,FALSE
38,Magmortar,Fire,None,540,75,95,67,125,95,83,4,FALSE
39,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,TRUE
40,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,TRUE
41,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,FALSE
42,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,FALSE
43,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,FALSE
44,Mismagius,Ghost,None,495,60,60,60,105,105,105,4,FALSE
45,Dusknoir,Ghost,None,525,45,100,135,65,135,45,4,TRUE
46,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,FALSE
47,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,FALSE
48,Snover,Grass,Ice,334,60,62,50,62,60,40,4,FALSE
49,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,FALSE
50,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,FALSE
51,Budew,Grass,Poison,280,40,30,35,50,70,55,4,FALSE
52,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,FALSE
53,Turtwig,Grass,None,318,55,68,64,45,55,31,4,FALSE
54,Grotle,Grass,None,405,75,89,85,55,65,36,4,FALSE
55,Cherubi,Grass,None,275,45,35,45,62,53,35,4,FALSE
56,Cherrim,Grass,None,450,70,60,70,87,78,85,4,FALSE
57,Carnivine,Grass,None,454,74,100,72,90,72,46,4,FALSE
58,Tangrowth,Grass,None,535,100,100,125,110,50,50,4,FALSE
59,Leafeon,Grass,None,525,65,110,130,60,65,95,4,TRUE
60,ShayminLand Forme,Grass,None,600,100,100,100,100,100,100,4,FALSE
61,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,FALSE
62,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,FALSE
63,Hippopotas,Ground,None,330,68,72,78,38,42,32,4,FALSE
64,Hippowdon,Ground,None,525,108,112,118,68,72,47,4,FALSE
65,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,FALSE
66,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,FALSE
67,Glaceon,Ice,None,525,65,60,110,130,95,65,4,FALSE
68,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,FALSE
69,Starly,Normal,Flying,245,40,55,30,30,30,60,4,FALSE
70,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,FALSE
71,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,FALSE
72,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,FALSE
73,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,FALSE
74,Bidoof,Normal,None,250,59,45,40,35,40,31,4,FALSE
75,Ambipom,Normal,None,482,75,100,66,60,66,115,4,FALSE
76,Buneary,Normal,None,350,55,66,44,44,56,85,4,FALSE
77,Lopunny,Normal,None,480,65,76,84,54,96,105,4,FALSE
78,Glameow,Normal,None,310,49,55,42,42,37,85,4,FALSE
79,Purugly,Normal,None,452,71,82,64,64,59,112,4,FALSE
80,Happiny,Normal,None,220,100,5,5,15,65,30,4,FALSE
81,Munchlax,Normal,None,390,135,85,40,40,85,5,4,FALSE
82,Lickilicky,Normal,None,515,110,85,95,80,95,50,4,FALSE
83,Porygon-Z,Normal,None,535,85,80,70,135,75,90,4,TRUE
84,Regigigas,Normal,None,670,110,160,110,80,110,100,4,TRUE
85,Arceus,Normal,None,720,120,120,120,120,120,120,4,FALSE
86,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,FALSE
87,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,FALSE
88,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,FALSE
89,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,FALSE
90,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,FALSE
91,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,FALSE
92,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,FALSE
93,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,FALSE
94,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,FALSE
95,Chingling,Psychic,None,285,45,30,50,65,50,45,4,TRUE
96,Uxie,Psychic,None,580,75,75,130,75,130,95,4,TRUE
97,Mesprit,Psychic,None,580,80,105,105,105,105,80,4,TRUE
98,Azelf,Psychic,None,580,75,125,70,125,70,115,4,FALSE
99,Cresselia,Psychic,None,600,120,70,120,75,130,85,4,FALSE
100,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,FALSE
101,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,FALSE
102,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,FALSE
103,Cranidos,Rock,None,350,67,125,40,30,30,58,4,FALSE
104,Rampardos,Rock,None,495,97,165,60,65,50,58,4,FALSE
105,Bonsly,Rock,None,290,50,80,95,10,45,10,4,TRUE
106,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,FALSE
107,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,FALSE
108,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,TRUE
109,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,FALSE
110,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,FALSE
111,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,FALSE
112,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,FALSE
113,Piplup,Water,None,314,53,51,53,61,56,40,4,FALSE
114,Prinplup,Water,None,405,64,66,68,81,76,50,4,FALSE
115,Buizel,Water,None,330,55,65,35,60,30,85,4,FALSE
